zone_simple,quarter,Spike_D614G,NSP12_P323L,NSP4_T492I,Spike_T478K,Spike_G142D,N_R203K,N_G204R,Spike_P681H,NSP6_G107del,NSP6_S106del,Spike_N501Y,Spike_H655Y,Spike_N679K,Spike_N969K,Spike_Q954H,Spike_L452R,Spike_D796Y,NSP5_P132H,N_P13L,E_T9I,M_A63T,NSP14_I42V,Spike_G339D,M_Q19E,N_R32del,N_E31del,N_S33del,Spike_P681R,Spike_S477N,Spike_N764K,M_I82T,NS3_S26L,NSP13_P77L,N_R203M,Spike_S373P,N_D377Y,Spike_S375F,Spike_E484A,Spike_T19R,NSP12_G671S,N_D63G,Spike_Y505H,Spike_Q498R,Spike_D950N,NS7a_T120I,NS7a_V82A,Spike_T95I,Spike_F157del,Spike_R158del,Spike_Q493R,Spike_E156G,NSP6_T77A,NSP14_A394V,NSP4_V167L,NSP3_A488S,N_G215C,NS7b_T40I,NSP3_P1228L,NSP3_P1469S,Spike_V70del,Spike_H69del,Spike_K417N,Spike_N440K,NSP6_F108del,Spike_Y144del,NSP6_I189V,Spike_T547K,NSP3_A1892T,Spike_L981F,Spike_N856K,Spike_A67V,NSP3_K38R,NSP3_L1266I,NS3_T223I,NSP6_L105del,Spike_V143del,NSP13_R392C,Spike_Y145del,Spike_V213G,NSP3_G489S,NSP3_S1265del,Spike_T19I,NSP3_T24I,NSP1_S135R,NSP4_L264F,M_D3G,NSP4_T327I,Spike_D405N,N_S413R,Spike_A27S,Spike_T376A,Spike_S371F,Spike_P26del,Spike_P25del,Spike_L24del,NSP15_T112I,Spike_R408S,Spike_S371L,Spike_G496S,Spike_N211del,Spike_L212I,NSP4_L438F,Spike_ins214EPE,Spike_G446S,Spike_R346K,NSP3_T183I,NS8_Q27stop,Spike_T716I,Spike_A570D,Spike_D1118H,NS8_R52I,NS8_Y73C,NSP3_A890D,N_S235F,Spike_S982A,N_D3L,NSP3_I1412T,NSP3_A1711V,Spike_A222V,NS3_Q57H,NSP2_T85I,NSP4_A446V,NSP3_P822L,NS8_K68stop,NSP6_V149A,NSP6_T181I,NSP13_I334V,NSP3_A1736V,NSP12_L838I,N_Q9L,NSP3_V1069I,Spike_F486V,Spike_A701V,NS3_E239Q,NSP12_F694Y,NS3_L106F,NSP13_K460R,Spike_E484K,NSP12_F192V,Spike_S704L,Spike_L18F,NS3_H78Y,N_D343G,Spike_L452Q,NSP6_L37F,NSP1_M85del,NSP2_K81N,Spike_L5F,M_D3N,NSP13_H164Y,N_P199L,N_T205I,NSP12_P227L,N_P67S,NSP6_I162V,NSP5_K90R,N_A220V,N_M234I,NSP1_V86del,NS8_S24L,NSP5_L89F,NSP1_V84del,NS3_G172V,NS7a_P45L,NSP13_E341D,NSP14_N129D,Spike_V1176F,NSP16_K160R,NSP1_H83del,NS3_L140F,NSP4_A146V,Spike_Y145H,NSP1_K141del,NSP1_S142del,NSP1_F143del,Spike_K417T,Spike_P26S,NSP16_R216C,NSP6_C197F,NSP1_G82del,Spike_T1027I,NSP3_S370L,Spike_D138Y,NSP3_H1307Y,NS8_E92K,NSP2_P129L,NSP3_D410G,NS3_S253P,NSP3_K977Q,N_P80R,NS8_L60F,Spike_T20N,Spike_V1264L,Spike_R190S,N_S194L,NSP13_A296S
1,7,1977536,1964152,1653215,1837954,1142100,63546,62427,62133,65343,65680,62818,19785,11359,11251,11235,1830748,12266,11441,13393,11747,11231,11215,10624,11098,10804,10804,10801,1884378,7138,10837,1877393,1881406,1866263,1868988,7507,1844496,7598,6364,1860252,1864816,1840639,5614,5762,1815551,1775689,1765082,668393,1718230,1716573,6401,1714025,1641726,1647095,1644324,1627303,1629106,1609635,1640645,1593602,55829,55843,12165,6737,54233,55241,11856,11274,11209,11186,11210,16094,11366,11443,3958,11106,11063,2485,10747,52,208,11416,587,214,49,1387,10136,775,69,529,5941,54,113,66,62,82,1953,145,7360,5697,6152,6100,175,4950,4987,7028,44866,44569,45053,43822,43829,45435,43524,44246,43449,43956,42941,43012,428400,182485,11125,6074,209400,219739,12047,205202,165385,134619,119800,105024,104842,3012,2,5618,138376,1123,4197,6199,16312,135516,1880,13112,3622,1249,683,46649,24386,68882,24431,67,66599,1519,9175,8372,1263,93875,24842,2559,3723,11022,693,1182,17856,2956,40634,11282,893,8170,20407,10910,1106,1917,19611,16345,16306,16297,6667,8835,2483,64400,10469,10242,8353,7343,55454,6728,57147,59841,6894,6710,6783,53380,6492,36847,6299,3214,38285
0,7,175250,172749,113997,128752,44620,26460,26284,13839,26939,26924,29067,20364,1767,290,279,129169,425,310,2217,363,311,286,304,307,132,132,131,135487,567,276,135635,134898,134781,132641,277,129475,259,346,130530,134732,130865,236,248,124430,122362,121976,43404,107064,106713,246,106782,107367,107053,106746,106913,104845,106303,105950,103008,4054,4056,2918,661,26697,4677,346,307,318,253,274,748,345,323,1598,266,810,338,271,12,24,313,103,56,16,443,285,86,24,16,960,10,19,1,1,4,201,19,250,237,150,155,52,163,316,5435,3684,3474,3854,3310,3391,3517,3254,3350,3362,3327,2658,3181,920,16331,9411,2597,27450,27005,1683,26423,17443,621,870,2530,2507,56,1,2385,2043,33,1272,262,26604,694,198,20863,663,18,1857,6616,991,3533,2086,12,770,263,7976,891,86,2041,4884,104,861,768,22,92,635,168,1226,20203,18,20392,1315,623,1181,127,74,685,688,685,19654,19651,200,1608,601,20311,19855,19328,518,19748,9938,1541,19903,19942,19848,358,19541,14824,19021,1375,2580
2,7,51524,51284,40561,49755,35863,1096,909,1085,1133,1133,1079,305,14,3,3,49596,11,4,15,10,3,1,5,4,10,10,9,50280,14,2,50301,50412,50140,49503,3,49948,8,24,49280,50198,44649,3,4,46816,49029,48506,11262,47970,47813,3,47787,40280,40289,40491,40769,39752,40318,40620,40225,1255,1252,28,6,1128,1139,29,4,3,3,3,37,4,9,47,3,15,41,7,0,0,14,34,0,0,39,4,18,0,0,143,1,0,1,1,1,14,0,3,3,15,14,22,3,7,3,1092,1091,1077,1075,1065,1085,1077,1059,1038,1075,1079,1063,4935,8949,62,22,9530,9614,499,9531,9207,316,79,7720,7733,1,0,20,57,138,163,271,78,65,61,101,153,0,10,1389,460,13262,616,1,838,4,36,84,7,39,1262,3,47,191,1,4,201,271,10602,70,1,82,1209,258,119,15,28,2748,2750,2746,30,176,102,19,245,59,99,61,44,33,555,9,39,34,36,32,34,357,32,24,190
-1,7,22064,20649,14617,13307,5622,5350,5334,1182,5496,5496,5916,4908,261,3,3,13088,9,3,1488,32,10,4,2,4,2,2,2,14070,38,3,14421,13936,14010,13749,1,13388,1,1,13525,13953,13956,1,4,11429,12996,12907,3670,11833,11760,1,11715,12340,12328,12493,12459,12179,12562,12105,12519,170,169,141,11,5496,493,7,3,3,2,3,26,3,11,104,2,73,20,21,1,4,14,3,3,1,62,4,16,1,3,20,1,8,2,2,2,63,1,0,0,14,14,3,0,0,1002,186,134,406,190,104,115,131,105,121,145,122,105,55,1143,1139,175,1457,1448,25,1422,1294,137,81,309,312,2,0,137,1130,52,131,24,5783,71,21,3668,64,0,1529,922,240,668,187,0,77,3,1130,52,19,50,334,1,87,201,0,5,325,4,453,3667,1,3704,290,329,23,24,7,128,128,128,3550,3575,1269,1010,329,3712,3634,3694,60,3679,226,1026,3723,3704,3851,46,3521,215,3625,12,117
1,8,2298918,2280792,2213390,2211920,1839112,427899,428814,431988,422071,422156,366871,433150,430489,424718,423248,1827214,420526,427173,416720,421581,413290,395967,403572,413323,399825,399617,399760,1861653,381382,341777,1848619,1851278,1851218,1844191,371052,1830204,371013,382558,1841119,1798538,1811288,363108,363948,1795341,1747696,1727419,1204729,1767192,1758776,382167,1755332,1779792,1778992,1772253,1780026,1769188,1756130,1706910,1731956,417779,417711,196492,212182,2802,408436,430010,427815,427151,422361,421315,427958,421876,419270,19282,416407,404337,5831,404089,1846,2391,413326,2517,2561,1880,4470,395512,2917,1936,4345,5981,1811,1956,1674,1671,1799,5156,1865,367106,363065,371270,371223,2247,322747,214960,120008,2702,2651,1305,284,294,5506,480,717,289,294,271,583,531308,188862,5430,3537,71579,72073,337,70703,67267,176818,117519,169513,167104,76577,46,57673,125915,206618,74375,1841,1230,112127,2120,11254,11327,69612,300,58931,39398,99302,34139,93,103049,284,3153,6350,13703,87152,37906,72,1973,26935,77,439,24360,6113,70991,11099,78,4491,41530,24799,2886,4334,120573,16028,16031,15996,88,3986,4116,67963,23664,2490,5976,1627,70633,329,14457,59892,386,327,99,69310,184,45811,791,2781,52617
0,8,161321,158839,144625,141931,85300,35887,35926,38013,32735,32807,29880,37974,37145,36148,36338,112390,35403,37017,34840,35694,36459,35933,33819,33828,27894,27869,27881,120084,29233,33303,120725,120260,119786,116609,29992,113808,30160,29456,115441,119336,119323,28765,28212,113121,108489,107384,78584,98950,98428,28990,98343,109714,109398,109236,108681,106148,109599,108086,102414,29117,29128,26540,24672,4468,29423,33067,32798,32646,31627,31665,31913,30709,28520,4817,27892,28527,4652,28492,4029,4357,28376,4106,4274,4353,4268,26935,4426,4550,4008,3607,4214,4342,3435,3434,3389,4285,4463,25596,25225,19704,19869,4261,17809,23071,11796,313,200,217,90,104,267,94,113,89,96,89,146,1177,7873,868,256,9833,10091,148,10253,7918,1088,1126,6555,6524,7243,0,973,3786,307,2520,139,1164,656,203,1090,924,2238,90,6408,901,4014,1789,9,934,31,744,306,213,1443,2766,2,101,714,4,36,645,316,2342,1529,17,718,1641,620,4919,615,412,658,658,658,560,645,152,2222,599,605,744,855,553,540,3103,2195,537,546,539,440,552,8078,594,221,3025
-1,8,23353,22644,21818,19902,15321,9450,9438,8864,9346,9346,7267,9107,8762,8742,8727,13314,8682,8684,8743,8433,8483,8285,8090,7457,8409,8407,8405,13346,6581,8019,13158,13029,13090,12809,6937,12306,6869,6704,12879,13099,12913,6599,6664,10188,12213,11932,13063,11960,11925,6671,11873,12678,12419,12747,12736,12388,12768,12638,12752,8453,8451,5930,5098,1082,8282,8371,8352,8390,8374,8349,8561,8198,8120,366,8265,8181,299,8160,286,333,8135,282,274,337,253,7067,338,345,356,301,280,359,272,270,270,1917,239,6534,6311,6490,6486,59,5085,5328,1781,54,40,78,18,20,30,18,20,19,20,18,19,94,413,225,83,343,348,1,341,338,464,70,2257,2285,1234,12,329,2799,114,390,8,592,45,23,374,48,327,293,892,232,1249,317,3,61,1,200,32,39,22,160,1,6,192,2,3,135,26,949,308,0,313,208,114,27,12,21,122,122,120,309,300,118,1094,114,323,318,353,35,303,35,1099,293,306,314,28,295,148,312,7,496
2,8,55623,55595,53374,54540,45158,7760,7756,8050,5601,5601,5015,8061,8044,8015,7955,47358,7781,8009,7864,8000,7854,8033,7878,7684,7793,7792,7786,47485,7102,7671,47611,47599,47718,46659,7166,47163,7206,7080,46574,47514,44987,6487,5001,45961,43484,42167,27485,44334,44310,5002,44293,44827,45289,45125,45395,44204,44949,44814,44886,7796,7794,6384,6798,146,8009,7782,7794,7757,7759,7741,7772,7744,7721,428,5455,7733,346,7684,254,260,7718,261,258,249,283,7040,290,174,252,182,155,267,138,138,141,289,170,6891,4855,6899,6898,272,4022,6646,1584,61,96,17,2,2,93,2,6,2,2,3,3,8138,2999,82,14,2320,2366,15,2304,2304,480,63,6633,6651,1042,0,627,54,394,575,77,8,6,100,853,584,448,13,1458,1511,11220,1079,0,2005,2,64,57,29,27,996,2,10,801,1,30,717,1199,9325,178,0,94,2896,742,36,98,705,1689,1689,1689,1,466,150,37,715,34,37,31,50,0,337,15,12,8,0,9,1,308,5,28,197
1,9,2626875,2606807,2598209,2425432,2488659,2536619,2541447,2573270,2491741,2491196,2335855,2582524,2580099,2565016,2555788,43828,2543577,2532410,2528819,2528216,2512916,2478253,2442822,2435632,2452684,2450913,2450944,41694,2380494,2406152,43191,42220,41517,41813,2351037,42061,2346639,2380280,41863,42415,41114,2330731,2325416,39022,42521,37680,1680265,39974,39835,2389234,39483,41593,40249,39466,39941,39804,41981,37706,38946,1672361,1672439,2032907,2031389,824768,1634680,1732494,1730570,1721883,1719448,1717783,1693711,1677264,1654025,840686,1660566,1635437,839845,1632866,831601,834479,1585049,835218,829749,825815,826343,1593945,824369,824684,828575,805590,805839,794693,804248,804085,803946,767164,793783,1530013,1543540,1538445,1537622,819197,1397106,1316322,989089,1346,2893,636,34,112,451,50,47,77,64,129,129,9602,5656,2571,1268,2209,2313,61,1431,3521,3017,62393,6890,6872,171998,89,129562,1669,43722,148171,2848,66,1420,7348,2464,109800,146968,2784,25248,91058,4024,25336,84,5344,112,751,4002,26052,1260,15643,66,357,73426,108,642,64816,1435,4558,3175,31,412,11616,60655,42820,41237,2288,21133,21116,21146,2372,816,523,940,58072,119,2393,575,2203,113,3297,891,178,36,42,1121,66,2054,115,639,1553
0,9,212592,210169,204654,168176,193560,193488,193109,203221,176470,176493,159085,204187,203144,200821,201671,5890,197888,203003,195817,198190,201332,198003,192087,190939,162941,162871,162689,6221,162250,192858,6481,6336,6283,6031,175592,5784,174209,161968,5927,6517,6328,159165,157498,5800,5320,5235,113985,5066,5008,156509,4950,5518,5440,5227,5249,5436,6919,5472,4760,105669,105900,163110,142431,69813,106503,116462,116273,115319,114256,114701,110448,111031,106608,86333,105353,106510,87498,106274,81565,86350,108077,80826,84827,85940,83718,104112,81907,84018,77674,67897,79625,82493,67486,67463,67350,82004,79102,93001,92338,80711,80850,82407,77470,84741,44450,65,151,10,2,12,22,3,3,4,1,6,7,107,877,143,81,950,1066,8,933,977,81,568,329,328,20351,44,2892,267,1552,7638,125,45,17,1602,261,1347,7405,59,1507,1986,208,1806,9,256,8,65,250,563,60,1063,4,99,1579,5,42,1360,190,183,82,0,88,790,1310,14847,13998,25,977,977,978,477,36,19,157,1226,45,68,36,94,12,351,144,15,10,14,21,10,620,84,50,187
2,9,66704,66322,66468,62572,64654,63401,63385,64630,48987,48982,40451,65135,64607,65107,64749,1524,63827,64458,64528,64892,64420,64779,63102,62690,64145,64129,64046,1470,61093,63438,1479,1487,1481,1468,61019,1475,61107,61534,1426,1499,1394,43766,40431,1405,1343,1293,27601,1329,1327,40400,1323,1467,1458,1460,1467,1448,1476,1476,1434,26563,26562,52028,54838,29509,27030,28344,27570,28074,28116,28003,26968,28172,27959,36917,19423,26949,36933,26931,36408,36731,27944,36051,36621,36574,36334,24999,36721,21497,36642,21256,20963,36013,21246,21244,21243,36606,21954,24967,18871,23604,23628,36335,12064,25257,13644,24,110,3,1,0,33,0,0,0,0,2,2,210,76,21,48,30,39,5,16,81,22,76,191,191,3036,0,1769,3,197,1917,229,3,2,89,52,10972,1837,4,652,1535,534,599,0,111,6,22,71,95,4,309,3,3,1042,2,50,1457,50,436,8,5,9,409,1405,233,250,32,569,569,569,19,25,4,0,1367,2,35,24,11,3,51,0,7,2,0,5,1,47,2,12,18
-1,9,16256,16203,15705,13596,14725,15538,15517,15608,15562,15561,13020,15567,15620,15329,15249,843,15235,15604,12617,15317,14660,14561,14685,13009,12646,12641,12594,571,13030,13925,570,568,565,580,13091,568,12965,13024,562,573,561,12841,12945,487,531,510,9366,566,557,12591,523,556,564,561,561,556,593,547,545,9164,9163,11235,9851,5766,9005,9773,9813,9784,9635,9710,8981,9669,9665,5738,9794,9005,5724,8999,5678,5616,9671,5567,5365,5582,5340,7968,5473,5391,5641,5629,5424,5456,5625,5625,5623,5549,4232,7493,7552,6536,6510,2633,4567,6562,5934,11,7,3,1,1,3,1,1,1,1,1,1,19,19,18,7,10,10,0,5,9,11,30,70,69,661,291,206,52,140,608,0,14,0,19,16,75,574,6,111,367,20,108,53,17,20,7,19,18,0,60,0,4,286,0,4,296,2,16,0,0,12,36,280,109,74,0,319,319,317,22,3,7,21,271,1,4,4,4,0,13,27,2,0,1,0,3,12,3,2,8
1,10,1119940,1095653,1094478,1050133,1099774,1066422,1068086,1113250,1072577,1072488,1043307,1118877,1118200,1102781,1102567,198267,1107782,1097346,1080480,1090093,1083567,1067129,1082709,1041927,1053227,1052175,1046571,316,1048180,1078413,250,992,194,177,1081143,610,1076573,1049286,151,1542,195,1037438,1038339,141,1329,135,20187,181,161,849341,154,252,269,207,171,171,686,1155,624,226321,226049,1032909,968473,1052693,21454,27668,21240,22119,19860,19821,20371,23184,21680,1074581,20266,19473,1077960,19717,1084316,1072668,21219,1070445,1064688,1063275,1052979,20434,1056366,1065153,1053674,1058457,1056683,1042290,1056156,1055749,1055396,1018922,1021667,19614,19182,19607,19584,858547,17243,18859,18337,789,3844,221,22,57,476,20,31,25,73,22,81,878,641,753,714,479,721,21,9,3211,42,1221,19,30,2107,199092,1618,18,16051,4369,614,16,40,217552,58,86581,835,200370,7159,44328,89,14593,144327,11364,53,498,2299,931,132,7831,39,222,35955,52,428,33383,103,722,974,14,48,5146,31022,64522,71260,115,51454,51455,51463,10925,35,151,21,29728,72,606,32,1682,105,1792,47,259,49,11,31,9,3265,36,646,629
0,10,104652,103755,98613,96807,99364,101608,101709,103853,98159,98144,96244,104010,103842,102688,102916,18256,101282,104085,102368,102160,102645,101589,100588,98706,94501,94415,93846,112,96807,99380,117,176,96,99,100830,124,100627,96962,95,611,96,96152,96135,87,263,72,2890,89,86,76413,86,86,89,72,58,39,157,140,205,21982,21866,92540,85866,95237,3029,2975,2984,3116,2864,2914,2798,3635,3557,100804,2914,2763,101321,2775,97504,99798,3559,96953,98791,99378,97708,2813,96040,98730,88902,92577,97554,96538,92694,92688,92564,94194,90807,2650,2454,2400,2392,76490,2060,2534,1656,52,174,11,2,5,30,3,4,2,3,8,6,65,133,51,46,65,94,4,39,1007,7,109,0,1,368,19149,81,2,1043,510,66,14,0,7833,19,5705,190,6199,617,2695,20,1203,14193,396,3,26,183,27,5,1015,4,54,2126,8,40,1983,19,51,5,0,40,485,1909,7555,7507,4,5135,5137,5132,5279,3,19,3,1805,10,69,6,94,30,180,4,11,11,5,1,2,486,9,26,32
-1,10,16910,16887,16521,16609,15743,16898,16884,16836,16875,16874,16559,16886,16838,16424,16433,6260,16452,16877,16073,15552,16713,16272,16744,15278,16110,16088,16066,5,16624,15880,15,21,14,6,16705,8,16647,16589,12,40,8,16532,16550,6,16,6,878,13,13,10120,13,6,14,10,8,5,10,14,32,7011,7004,15965,14124,15987,903,891,895,889,881,884,877,876,906,15856,888,859,15998,864,15701,15884,904,12825,15766,15697,15813,706,15390,15762,15809,15769,15836,15513,15772,15771,15768,15627,12758,816,747,747,742,8723,496,565,726,7,25,3,0,0,1,0,0,0,0,0,0,10,9,7,1,4,9,0,0,36,6,18,0,8,21,6396,21,0,205,143,3,3,1,980,7,596,47,902,93,830,0,172,2095,80,0,8,19,1,1,111,0,3,556,0,26,777,0,6,1,0,8,69,732,666,684,0,4264,4263,4265,82,1,2,0,623,0,8,0,8,1,12,6,0,0,0,0,0,16,0,1,4
2,10,17205,17188,17194,17115,16916,16886,16877,17188,15801,15800,14153,17188,17188,17195,17186,3127,17170,17174,17123,17144,17152,17159,16668,17040,17084,17082,17010,7,17114,17143,7,15,18,6,16624,18,16624,17095,12,43,17,14967,14153,6,16,4,237,8,8,11333,8,14,13,12,10,7,11,49,15,3506,3506,15418,16334,15575,240,262,247,282,226,225,229,332,290,16952,226,222,16952,221,16832,16874,284,16871,16838,16698,16664,279,16904,13753,16796,13649,13240,16328,13654,13654,13654,16807,13933,227,204,220,221,13577,125,217,159,7,64,1,1,1,4,0,1,0,0,0,1,8,24,5,24,6,28,1,0,35,0,35,0,0,71,3125,73,0,3,77,2,1,1,616,4,3022,9,617,127,508,4,236,2530,54,1,6,43,27,1,106,0,3,368,0,6,555,0,14,7,0,0,55,530,270,292,0,574,574,574,118,0,1,0,519,2,5,1,31,1,17,0,1,4,1,0,0,64,0,5,4
1,11,136881,135310,134986,116780,131951,132436,132541,135491,131755,131754,115682,135882,135688,134430,134376,61352,134725,134409,133194,130246,132643,126817,131171,129613,130975,130819,128356,975,115976,126521,988,1032,965,955,122984,1031,122865,116010,934,1204,960,114760,115380,922,907,793,40108,904,920,54049,758,933,944,940,938,926,988,979,902,104252,104217,107027,100444,91383,38669,41708,41246,41303,41173,41227,40930,41114,39788,93193,40372,38327,93295,38228,93740,92847,38340,92379,92216,92781,91056,36756,92483,92967,91917,92835,92207,90906,92775,92770,92735,86621,85718,30507,26517,25699,25629,27245,22103,19453,16886,64,126,32,3,7,55,9,4,7,10,8,12,453,255,113,78,67,126,9,26,496,41,289,125,135,8481,62757,6084,15,2767,3883,151,4,8,6301,45,1612,3338,5729,894,5114,54,1483,49359,1042,15,31,160,289,19,704,8,26,4026,4,44,4072,26,135,47,3,11,675,3782,1195,1365,163,10463,10466,10465,440,16,42,11,3611,9,70,27,51,9,140,9,26,3,3,24,3,293,7,24,41
0,11,8199,8208,7770,7675,7789,8040,8037,8040,7814,7811,7642,8129,8016,7887,7896,3760,7801,8190,7925,8087,8071,7841,7901,8060,7346,7341,7238,25,7689,7680,42,30,23,112,7934,31,7939,7622,43,199,26,7634,7594,23,22,24,1095,23,17,2522,17,26,28,22,19,76,64,37,17,4719,4704,7045,6755,6678,1088,1141,1164,1158,1055,1089,1071,1077,1137,7008,1125,1060,7026,1065,6870,6976,1129,6845,6948,6894,6951,1099,6624,6904,6144,6636,6929,6908,6633,6633,6633,6585,5894,983,947,892,892,3025,778,988,327,0,3,1,0,0,0,0,0,0,0,0,0,8,2,10,1,4,6,0,8,14,0,7,0,0,457,3787,16,0,183,39,3,1,0,247,2,37,18,194,42,127,1,95,3123,39,0,9,4,1,0,30,0,1,101,1,1,89,2,3,3,0,0,18,84,84,81,2,705,706,706,247,0,4,0,82,0,6,0,4,11,18,0,0,0,0,0,0,26,2,2,0
-1,11,882,882,870,866,720,880,878,881,879,879,865,882,881,876,875,653,876,879,867,869,879,881,881,828,871,870,851,0,867,875,0,0,0,0,881,0,873,866,0,4,0,862,867,0,0,0,1,0,0,203,0,0,0,0,0,0,1,1,7,667,666,813,496,877,8,0,2,2,1,1,1,2,2,876,2,2,881,4,859,875,2,492,870,861,878,2,855,878,868,872,878,879,872,872,872,878,871,2,2,1,1,204,0,4,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,3,0,0,1,0,0,0,0,1,653,0,0,0,4,2,0,0,49,0,11,0,43,4,19,0,14,327,11,0,0,0,0,0,3,0,1,12,0,0,25,0,0,1,0,2,2,22,3,6,0,307,307,307,2,0,0,0,18,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0
2,11,676,675,673,658,674,655,655,675,675,675,653,676,676,676,676,584,674,674,662,670,661,674,666,673,661,661,640,0,658,670,1,0,0,1,669,3,669,655,0,0,1,650,655,0,0,0,1,0,0,54,0,0,0,0,0,1,0,0,0,620,620,600,634,675,1,1,2,0,1,1,1,0,1,675,0,0,674,1,661,672,1,674,671,656,673,1,673,654,664,674,668,662,674,674,674,673,653,1,1,0,0,55,1,1,1,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,599,0,0,1,1,0,0,0,25,0,8,0,25,2,15,1,6,514,15,0,0,0,1,0,2,0,0,9,0,0,12,1,0,0,0,0,2,11,1,2,0,65,65,65,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
